,CH1
Second,Volt
2.60000e-06,1.42e+01, 
2.64000e-06,1.42e+01, 
2.68000e-06,1.34e+01, 
2.72000e-06,1.42e+01, 
2.76000e-06,1.36e+01, 
2.80000e-06,1.36e+01, 
2.84000e-06,1.40e+01, 
2.88000e-06,1.36e+01, 
2.92000e-06,1.42e+01, 
2.96000e-06,1.36e+01, 
3.00000e-06,1.42e+01, 
3.04000e-06,1.40e+01, 
3.08000e-06,1.36e+01, 
3.12000e-06,1.36e+01, 
3.16000e-06,1.42e+01, 
3.20000e-06,1.36e+01, 
3.24000e-06,1.42e+01, 
3.28000e-06,1.36e+01, 
3.32000e-06,1.42e+01, 
3.36000e-06,1.36e+01, 
3.40000e-06,1.40e+01, 
3.44000e-06,1.34e+01, 
3.48000e-06,1.40e+01, 
3.52000e-06,1.36e+01, 
3.56000e-06,1.40e+01, 
3.60000e-06,1.36e+01, 
3.64000e-06,1.40e+01, 
3.68000e-06,1.34e+01, 
3.72000e-06,1.42e+01, 
3.76000e-06,1.34e+01, 
3.80000e-06,1.40e+01, 
3.84000e-06,1.38e+01, 
3.88000e-06,1.36e+01, 
3.92000e-06,1.40e+01, 
3.96000e-06,1.36e+01, 
4.00000e-06,1.40e+01, 
4.04000e-06,1.36e+01, 
4.08000e-06,1.36e+01, 
4.12000e-06,1.40e+01, 
4.16000e-06,1.40e+01, 
4.20000e-06,1.34e+01, 
4.24000e-06,1.34e+01, 
4.28000e-06,1.42e+01, 
4.32000e-06,1.36e+01, 
4.36000e-06,1.42e+01, 
4.40000e-06,1.34e+01, 
4.44000e-06,1.40e+01, 
4.48000e-06,1.40e+01, 
4.52000e-06,1.34e+01, 
4.56000e-06,1.38e+01, 
4.60000e-06,1.34e+01, 
4.64000e-06,1.42e+01, 
4.68000e-06,1.36e+01, 
4.72000e-06,1.40e+01, 
4.76000e-06,1.34e+01, 
4.80000e-06,1.40e+01, 
4.84000e-06,1.34e+01, 
4.88000e-06,1.36e+01, 
4.92000e-06,-4.00e-01, 
4.96000e-06,1.60e+00, 
5.00000e-06,1.00e+00, 
5.04000e-06,1.00e+00, 
5.08000e-06,1.60e+00, 
5.12000e-06,1.40e+00, 
5.16000e-06,1.20e+00, 
5.20000e-06,1.40e+00, 
5.24000e-06,1.20e+00, 
5.28000e-06,1.40e+00, 
5.32000e-06,1.00e+00, 
5.36000e-06,1.00e+00, 
5.40000e-06,1.40e+00, 
5.44000e-06,1.40e+00, 
5.48000e-06,1.00e+00, 
5.52000e-06,1.40e+00, 
5.56000e-06,8.00e-01, 
5.60000e-06,1.40e+00, 
5.64000e-06,1.00e+00, 
5.68000e-06,1.20e+00, 
5.72000e-06,1.00e+00, 
5.76000e-06,1.00e+00, 
5.80000e-06,1.40e+00, 
5.84000e-06,1.40e+00, 
5.88000e-06,8.00e-01, 
5.92000e-06,1.40e+00, 
5.96000e-06,8.00e-01, 
6.00000e-06,1.20e+00, 
6.04000e-06,1.60e+00, 
6.08000e-06,1.40e+00, 
6.12000e-06,8.00e-01, 
6.16000e-06,1.40e+00, 
6.20000e-06,1.00e+00, 
6.24000e-06,1.40e+00, 
6.28000e-06,8.00e-01, 
6.32000e-06,1.40e+00, 
6.36000e-06,1.00e+00, 
6.40000e-06,1.40e+00, 
6.44000e-06,8.00e-01, 
6.48000e-06,1.00e+00, 
6.52000e-06,1.40e+00, 
6.56000e-06,1.40e+00, 
6.60000e-06,1.00e+00, 
6.64000e-06,1.00e+00, 
6.68000e-06,1.40e+00, 
6.72000e-06,1.40e+00, 
6.76000e-06,1.00e+00, 
6.80000e-06,1.40e+00, 
6.84000e-06,6.00e-01, 
6.88000e-06,1.00e+00, 
6.92000e-06,1.40e+00, 
6.96000e-06,1.40e+00, 
7.00000e-06,8.00e-01, 
7.04000e-06,1.40e+00, 
7.08000e-06,8.00e-01, 
7.12000e-06,1.00e+00, 
7.16000e-06,1.40e+00, 
7.20000e-06,1.00e+00, 
7.24000e-06,1.40e+00, 
7.28000e-06,8.00e-01, 
7.32000e-06,1.20e+00, 
7.36000e-06,1.40e+00, 
7.40000e-06,8.00e-01, 
7.44000e-06,8.00e-01, 
7.48000e-06,1.40e+00, 
7.52000e-06,1.40e+00, 
7.56000e-06,1.00e+00, 
7.60000e-06,1.40e+00, 
7.64000e-06,1.00e+00, 
7.68000e-06,1.00e+00, 
7.72000e-06,1.40e+00, 
7.76000e-06,1.00e+00, 
7.80000e-06,1.40e+00, 
7.84000e-06,1.40e+00, 
7.88000e-06,1.00e+00, 
7.92000e-06,1.40e+00, 
7.96000e-06,1.00e+00, 
8.00000e-06,1.40e+00, 
8.04000e-06,8.00e-01, 
8.08000e-06,1.40e+00, 
8.12000e-06,1.00e+00, 
8.16000e-06,1.40e+00, 
8.20000e-06,1.00e+00, 
8.24000e-06,1.40e+00, 
8.28000e-06,1.00e+00, 
8.32000e-06,1.40e+00, 
8.36000e-06,1.00e+00, 
8.40000e-06,1.40e+00, 
8.44000e-06,1.00e+00, 
8.48000e-06,1.40e+00, 
8.52000e-06,1.00e+00, 
8.56000e-06,1.40e+00, 
8.60000e-06,1.00e+00, 
8.64000e-06,1.40e+00, 
8.68000e-06,8.00e-01, 
8.72000e-06,1.40e+00, 
8.76000e-06,8.00e-01, 
8.80000e-06,1.40e+00, 
8.84000e-06,1.00e+00, 
8.88000e-06,1.40e+00, 
8.92000e-06,8.00e-01, 
8.96000e-06,1.00e+00, 
9.00000e-06,1.40e+00, 
9.04000e-06,1.40e+00, 
9.08000e-06,1.20e+00, 
9.12000e-06,1.40e+00, 
9.16000e-06,1.00e+00, 
9.20000e-06,1.00e+00, 
9.24000e-06,1.40e+00, 
9.28000e-06,1.40e+00, 
9.32000e-06,1.00e+00, 
9.36000e-06,1.40e+00, 
9.40000e-06,1.00e+00, 
9.44000e-06,1.40e+00, 
9.48000e-06,1.00e+00, 
9.52000e-06,1.40e+00, 
9.56000e-06,1.00e+00, 
9.60000e-06,1.40e+00, 
9.64000e-06,1.00e+00, 
9.68000e-06,1.20e+00, 
9.72000e-06,1.40e+00, 
9.76000e-06,1.20e+00, 
9.80000e-06,1.40e+00, 
9.84000e-06,1.60e+00, 
9.88000e-06,1.20e+00, 
9.92000e-06,1.00e+00, 
9.96000e-06,1.20e+01, 
1.00000e-05,1.50e+01, 
1.00400e-05,1.28e+01, 
