,CH1
Second,Volt
9.00000e-06,-1.60e-02, 
9.20000e-06,8.00e-03, 
9.40000e-06,-1.60e-02, 
9.60000e-06,-8.00e-03, 
9.80000e-06,8.00e-03, 
1.00000e-05,-1.60e-02, 
1.02000e-05,1.60e-02, 
1.04000e-05,-1.60e-02, 
1.06000e-05,1.60e-02, 
1.08000e-05,-1.60e-02, 
1.10000e-05,0.00e+00, 
1.12000e-05,8.00e-03, 
1.14000e-05,-1.60e-02, 
1.16000e-05,8.00e-03, 
1.18000e-05,-8.00e-03, 
1.20000e-05,1.60e-02, 
1.22000e-05,-1.60e-02, 
1.24000e-05,-1.60e-02, 
1.26000e-05,8.00e-03, 
1.28000e-05,-1.60e-02, 
1.30000e-05,8.00e-03, 
1.32000e-05,-1.60e-02, 
1.34000e-05,8.00e-03, 
1.36000e-05,8.00e-03, 
1.38000e-05,-1.60e-02, 
1.40000e-05,8.00e-03, 
1.42000e-05,-8.00e-03, 
1.44000e-05,8.00e-03, 
1.46000e-05,-1.60e-02, 
1.48000e-05,-8.00e-03, 
1.50000e-05,1.60e-02, 
1.52000e-05,8.00e-03, 
1.54000e-05,-8.00e-03, 
1.56000e-05,-1.60e-02, 
1.58000e-05,8.00e-03, 
1.60000e-05,-8.00e-02, 
1.62000e-05,2.80e-01, 
1.64000e-05,-1.60e-02, 
1.66000e-05,8.00e-03, 
1.68000e-05,0.00e+00, 
1.70000e-05,-1.60e-02, 
1.72000e-05,8.00e-03, 
1.74000e-05,-1.60e-02, 
1.76000e-05,8.00e-03, 
1.78000e-05,-1.60e-02, 
1.80000e-05,-1.60e-02, 
1.82000e-05,8.00e-03, 
1.84000e-05,-1.60e-02, 
1.86000e-05,8.00e-03, 
1.88000e-05,-1.60e-02, 
1.90000e-05,8.00e-03, 
1.92000e-05,8.00e-03, 
1.94000e-05,-2.40e-02, 
1.96000e-05,0.00e+00, 
1.98000e-05,-1.60e-02, 
2.00000e-05,0.00e+00, 
2.02000e-05,-1.60e-02, 
2.04000e-05,8.00e-03, 
2.06000e-05,-2.40e-02, 
2.08000e-05,0.00e+00, 
2.10000e-05,-1.60e-02, 
2.12000e-05,-1.60e-02, 
2.14000e-05,8.00e-03, 
2.16000e-05,8.00e-03, 
2.18000e-05,-2.40e-02, 
2.20000e-05,0.00e+00, 
2.22000e-05,-1.60e-02, 
2.24000e-05,-2.40e-02, 
2.26000e-05,8.00e-03, 
2.28000e-05,8.00e-03, 
2.30000e-05,-1.60e-02, 
2.32000e-05,0.00e+00, 
2.34000e-05,-2.40e-02, 
2.36000e-05,-1.60e-02, 
2.38000e-05,8.00e-03, 
2.40000e-05,-1.60e-02, 
2.42000e-05,8.00e-03, 
2.44000e-05,-1.60e-02, 
2.46000e-05,8.00e-03, 
2.48000e-05,-8.00e-03, 
2.50000e-05,0.00e+00, 
2.52000e-05,8.00e-03, 
2.54000e-05,-1.60e-02, 
2.56000e-05,-2.40e-02, 
2.58000e-05,8.00e-03, 
2.60000e-05,-1.60e-02, 
2.62000e-05,8.00e-03, 
2.64000e-05,0.00e+00, 
2.66000e-05,-8.00e-03, 
2.68000e-05,-1.60e-02, 
2.70000e-05,0.00e+00, 
2.72000e-05,8.00e-03, 
2.74000e-05,-1.60e-02, 
2.76000e-05,8.00e-03, 
2.78000e-05,-2.40e-02, 
2.80000e-05,-2.40e-02, 
2.82000e-05,8.00e-03, 
2.84000e-05,8.00e-03, 
2.86000e-05,-1.60e-02, 
2.88000e-05,0.00e+00, 
2.90000e-05,-1.60e-02, 
2.92000e-05,-1.60e-02, 
2.94000e-05,8.00e-03, 
2.96000e-05,0.00e+00, 
2.98000e-05,-1.60e-02, 
3.00000e-05,8.00e-03, 
3.02000e-05,-1.60e-02, 
3.04000e-05,8.00e-03, 
3.06000e-05,-2.40e-02, 
3.08000e-05,8.00e-03, 
3.10000e-05,-1.60e-02, 
3.12000e-05,0.00e+00, 
3.14000e-05,-1.60e-02, 
3.16000e-05,-1.60e-02, 
3.18000e-05,8.00e-03, 
3.20000e-05,-1.60e-02, 
3.22000e-05,0.00e+00, 
3.24000e-05,8.00e-03, 
3.26000e-05,-2.40e-02, 
3.28000e-05,-8.00e-03, 
3.30000e-05,5.60e-02, 
3.32000e-05,-2.80e-01, 
3.34000e-05,8.00e-02, 
3.36000e-05,-1.60e-02, 
3.38000e-05,1.60e-02, 
3.40000e-05,-1.60e-02, 
3.42000e-05,8.00e-03, 
3.44000e-05,-1.60e-02, 
3.46000e-05,8.00e-03, 
3.48000e-05,8.00e-03, 
3.50000e-05,-1.60e-02, 
3.52000e-05,8.00e-03, 
3.54000e-05,-1.60e-02, 
3.56000e-05,8.00e-03, 
3.58000e-05,-1.60e-02, 
3.60000e-05,8.00e-03, 
3.62000e-05,-1.60e-02, 
3.64000e-05,-1.60e-02, 
3.66000e-05,2.40e-02, 
3.68000e-05,-1.60e-02, 
3.70000e-05,1.60e-02, 
3.72000e-05,-1.60e-02, 
3.74000e-05,8.00e-03, 
3.76000e-05,-1.60e-02, 
3.78000e-05,8.00e-03, 
3.80000e-05,8.00e-03, 
3.82000e-05,-1.60e-02, 
3.84000e-05,8.00e-03, 
3.86000e-05,-1.60e-02, 
3.88000e-05,-1.60e-02, 
3.90000e-05,1.60e-02, 
3.92000e-05,-8.00e-03, 
3.94000e-05,8.00e-03, 
3.96000e-05,-1.60e-02, 
3.98000e-05,8.00e-03, 
4.00000e-05,-1.60e-02, 
4.02000e-05,8.00e-03, 
4.04000e-05,8.00e-03, 
4.06000e-05,-8.00e-03, 
4.08000e-05,8.00e-03, 
4.10000e-05,-1.60e-02, 
4.12000e-05,8.00e-03, 
4.14000e-05,-1.60e-02, 
4.16000e-05,-1.60e-02, 
4.18000e-05,1.60e-02, 
4.20000e-05,-8.00e-03, 
4.22000e-05,8.00e-03, 
4.24000e-05,0.00e+00, 
4.26000e-05,-1.60e-02, 
4.28000e-05,-8.00e-03, 
4.30000e-05,8.00e-03, 
4.32000e-05,8.00e-03, 
4.34000e-05,-1.60e-02, 
4.36000e-05,8.00e-03, 
4.38000e-05,-8.00e-03, 
4.40000e-05,8.00e-03, 
4.42000e-05,-8.00e-03, 
4.44000e-05,8.00e-03, 
4.46000e-05,-2.40e-02, 
4.48000e-05,-1.60e-02, 
4.50000e-05,8.00e-03, 
4.52000e-05,-1.60e-02, 
4.54000e-05,1.60e-02, 
4.56000e-05,8.00e-03, 
4.58000e-05,-1.60e-02, 
4.60000e-05,8.00e-03, 
4.62000e-05,-8.00e-03, 
4.64000e-05,-1.60e-02, 
4.66000e-05,8.00e-03, 
