,CH1
Second,Volt
-4.36000e-06,1.00e-02, 
-4.32000e-06,8.00e-03, 
-4.28000e-06,1.00e-02, 
-4.24000e-06,1.20e-02, 
-4.20000e-06,6.00e-03, 
-4.16000e-06,6.00e-03, 
-4.12000e-06,1.20e-02, 
-4.08000e-06,1.00e-02, 
-4.04000e-06,8.00e-03, 
-4.00000e-06,8.00e-03, 
-3.96000e-06,1.00e-02, 
-3.92000e-06,8.00e-03, 
-3.88000e-06,1.00e-02, 
-3.84000e-06,8.00e-03, 
-3.80000e-06,1.20e-02, 
-3.76000e-06,8.00e-03, 
-3.72000e-06,1.00e-02, 
-3.68000e-06,8.00e-03, 
-3.64000e-06,1.00e-02, 
-3.60000e-06,1.00e-02, 
-3.56000e-06,8.00e-03, 
-3.52000e-06,8.00e-03, 
-3.48000e-06,1.00e-02, 
-3.44000e-06,8.00e-03, 
-3.40000e-06,1.00e-02, 
-3.36000e-06,1.20e-02, 
-3.32000e-06,6.00e-03, 
-3.28000e-06,8.00e-03, 
-3.24000e-06,1.00e-02, 
-3.20000e-06,8.00e-03, 
-3.16000e-06,1.20e-02, 
-3.12000e-06,1.00e-02, 
-3.08000e-06,6.00e-03, 
-3.04000e-06,8.00e-03, 
-3.00000e-06,1.20e-02, 
-2.96000e-06,8.00e-03, 
-2.92000e-06,1.00e-02, 
-2.88000e-06,1.20e-02, 
-2.84000e-06,6.00e-03, 
-2.80000e-06,6.00e-03, 
-2.76000e-06,1.00e-02, 
-2.72000e-06,8.00e-03, 
-2.68000e-06,1.00e-02, 
-2.64000e-06,1.00e-02, 
-2.60000e-06,6.00e-03, 
-2.56000e-06,6.00e-03, 
-2.52000e-06,1.00e-02, 
-2.48000e-06,8.00e-03, 
-2.44000e-06,8.00e-03, 
-2.40000e-06,8.00e-03, 
-2.36000e-06,1.00e-02, 
-2.32000e-06,1.00e-02, 
-2.28000e-06,6.00e-03, 
-2.24000e-06,8.00e-03, 
-2.20000e-06,1.00e-02, 
-2.16000e-06,8.00e-03, 
-2.12000e-06,1.00e-02, 
-2.08000e-06,8.00e-03, 
-2.04000e-06,1.00e-02, 
-2.00000e-06,1.00e-02, 
-1.96000e-06,8.00e-03, 
-1.92000e-06,1.00e-02, 
-1.88000e-06,6.00e-03, 
-1.84000e-06,1.00e-02, 
-1.80000e-06,6.00e-03, 
-1.76000e-06,1.20e-02, 
-1.72000e-06,8.00e-03, 
-1.68000e-06,8.00e-03, 
-1.64000e-06,1.00e-02, 
-1.60000e-06,1.20e-02, 
-1.56000e-06,6.00e-03, 
-1.52000e-06,1.20e-02, 
-1.48000e-06,8.00e-03, 
-1.44000e-06,8.00e-03, 
-1.40000e-06,1.00e-02, 
-1.36000e-06,8.00e-03, 
-1.32000e-06,1.00e-02, 
-1.28000e-06,1.00e-02, 
-1.24000e-06,8.00e-03, 
-1.20000e-06,8.00e-03, 
-1.16000e-06,1.00e-02, 
-1.12000e-06,8.00e-03, 
-1.08000e-06,1.20e-02, 
-1.04000e-06,8.00e-03, 
-1.00000e-06,1.20e-02, 
-9.60000e-07,8.00e-03, 
-9.20000e-07,1.00e-02, 
-8.80000e-07,8.00e-03, 
-8.40000e-07,1.00e-02, 
-8.00000e-07,8.00e-03, 
-7.60000e-07,1.00e-02, 
-7.20000e-07,8.00e-03, 
-6.80000e-07,1.00e-02, 
-6.40000e-07,8.00e-03, 
-6.00000e-07,1.00e-02, 
-5.60000e-07,1.00e-02, 
-5.20000e-07,8.00e-03, 
-4.80000e-07,6.00e-03, 
-4.40000e-07,1.40e-02, 
-4.00000e-07,6.00e-03, 
-3.60000e-07,1.40e-02, 
-3.20000e-07,8.00e-03, 
-2.80000e-07,1.00e-02, 
-2.40000e-07,8.00e-03, 
-2.00000e-07,1.20e-02, 
-1.60000e-07,8.00e-03, 
-1.20000e-07,1.20e-02, 
-8.00000e-08,1.20e-02, 
-4.00000e-08,6.00e-03, 
0.00000e+00,8.80e-02, 
4.00000e-08,4.80e-02, 
8.00000e-08,9.00e-02, 
1.20000e-07,5.20e-02, 
1.60000e-07,8.80e-02, 
2.00000e-07,5.80e-02, 
2.40000e-07,7.20e-02, 
2.80000e-07,6.60e-02, 
3.20000e-07,7.40e-02, 
3.60000e-07,6.60e-02, 
4.00000e-07,7.00e-02, 
4.40000e-07,7.40e-02, 
4.80000e-07,7.00e-02, 
5.20000e-07,7.40e-02, 
5.60000e-07,7.40e-02, 
6.00000e-07,7.00e-02, 
6.40000e-07,7.20e-02, 
6.80000e-07,7.00e-02, 
7.20000e-07,7.20e-02, 
7.60000e-07,7.00e-02, 
8.00000e-07,7.40e-02, 
8.40000e-07,7.00e-02, 
8.80000e-07,7.20e-02, 
9.20000e-07,7.40e-02, 
9.60000e-07,7.40e-02, 
1.00000e-06,7.00e-02, 
1.04000e-06,7.40e-02, 
1.08000e-06,7.00e-02, 
1.12000e-06,7.40e-02, 
1.16000e-06,7.00e-02, 
1.20000e-06,7.20e-02, 
1.24000e-06,7.20e-02, 
1.28000e-06,7.20e-02, 
1.32000e-06,7.40e-02, 
1.36000e-06,7.40e-02, 
1.40000e-06,7.00e-02, 
1.44000e-06,7.60e-02, 
1.48000e-06,7.20e-02, 
1.52000e-06,7.40e-02, 
1.56000e-06,7.00e-02, 
1.60000e-06,7.20e-02, 
1.64000e-06,7.60e-02, 
1.68000e-06,7.00e-02, 
1.72000e-06,7.40e-02, 
1.76000e-06,7.40e-02, 
1.80000e-06,7.00e-02, 
1.84000e-06,7.00e-02, 
1.88000e-06,7.60e-02, 
1.92000e-06,7.40e-02, 
1.96000e-06,7.20e-02, 
2.00000e-06,7.20e-02, 
2.04000e-06,7.40e-02, 
2.08000e-06,7.00e-02, 
2.12000e-06,7.60e-02, 
2.16000e-06,7.40e-02, 
2.20000e-06,6.80e-02, 
2.24000e-06,7.40e-02, 
2.28000e-06,7.00e-02, 
2.32000e-06,7.20e-02, 
2.36000e-06,7.00e-02, 
2.40000e-06,7.00e-02, 
2.44000e-06,7.40e-02, 
2.48000e-06,7.40e-02, 
2.52000e-06,7.00e-02, 
2.56000e-06,7.40e-02, 
2.60000e-06,7.00e-02, 
2.64000e-06,7.40e-02, 
2.68000e-06,6.80e-02, 
2.72000e-06,6.60e-02, 
2.76000e-06,7.60e-02, 
2.80000e-06,7.00e-02, 
2.84000e-06,7.40e-02, 
2.88000e-06,7.20e-02, 
2.92000e-06,7.00e-02, 
2.96000e-06,7.40e-02, 
3.00000e-06,7.00e-02, 
3.04000e-06,7.20e-02, 
3.08000e-06,7.40e-02, 
3.12000e-06,7.40e-02, 
3.16000e-06,7.00e-02, 
3.20000e-06,6.80e-02, 
3.24000e-06,7.60e-02, 
3.28000e-06,7.20e-02, 
3.32000e-06,7.40e-02, 
3.36000e-06,7.40e-02, 
3.40000e-06,7.00e-02, 
3.44000e-06,7.60e-02, 
3.48000e-06,7.00e-02, 
3.52000e-06,7.40e-02, 
3.56000e-06,7.00e-02, 
3.60000e-06,7.20e-02, 
3.64000e-06,7.20e-02, 
3.68000e-06,7.40e-02, 
3.72000e-06,7.20e-02, 
3.76000e-06,7.00e-02, 
3.80000e-06,7.40e-02, 
3.84000e-06,7.20e-02, 
3.88000e-06,7.40e-02, 
3.92000e-06,7.20e-02, 
3.96000e-06,7.40e-02, 
4.00000e-06,7.40e-02, 
4.04000e-06,7.00e-02, 
4.08000e-06,7.20e-02, 
4.12000e-06,7.20e-02, 
4.16000e-06,7.40e-02, 
4.20000e-06,7.20e-02, 
4.24000e-06,7.20e-02, 
4.28000e-06,7.40e-02, 
4.32000e-06,7.20e-02, 
4.36000e-06,7.40e-02, 
4.40000e-06,7.00e-02, 
4.44000e-06,7.60e-02, 
4.48000e-06,6.80e-02, 
4.52000e-06,7.60e-02, 
4.56000e-06,7.80e-02, 
4.60000e-06,7.00e-02, 
4.64000e-06,7.40e-02, 
4.68000e-06,7.00e-02, 
4.72000e-06,7.40e-02, 
4.76000e-06,7.00e-02, 
4.80000e-06,7.40e-02, 
4.84000e-06,7.00e-02, 
4.88000e-06,6.60e-02, 
4.92000e-06,-4.00e-03, 
4.96000e-06,2.00e-02, 
5.00000e-06,-6.00e-03, 
5.04000e-06,2.20e-02, 
5.08000e-06,-4.00e-03, 
5.12000e-06,1.40e-02, 
5.16000e-06,4.00e-03, 
5.20000e-06,8.00e-03, 
5.24000e-06,1.00e-02, 
5.28000e-06,1.00e-02, 
5.32000e-06,8.00e-03, 
5.36000e-06,8.00e-03, 
5.40000e-06,1.00e-02, 
